timestamp,x,y,theta,velocity,angular_velocity,slam_x,slam_y,slam_theta
1748640140.1587512,[ 0.05337594  0.03409286 -0.05372431],[0. 0. 0.],[ 1.66969192  1.06648386 -1.68058961],1.3687500000000001,-5.95076552219054e-05,5.337593609585623e-05,0.0,0.029141621568683298
1748640140.3689578,[ 0.02887925  0.01844815 -0.04843656],[ 0.03190412  0.02038045 -0.0535099 ],[ 0.77353593  0.49418092 -1.70546784],0.0004999999999999894,4.854334058420671e-05,2.8879247308337325e-05,3.1904118272629244e-05,0.01350074884082557
1748640141.1586807,[ 0.03614534  0.02309859 -0.08692369],[ 0.03853022  0.02462229 -0.09109508],[ 0.45045728  0.28807495 -1.72596227],0.0007499999999999397,0.0002844476771597394,3.614533566106086e-05,3.853021884250443e-05,0.007861962660700885
1748640142.0089884,[ 0.04105872  0.02624563 -0.13535651],[ 0.03986453  0.02547802 -0.11451917],[ 0.28045087  0.17942617 -1.74176608],0.0004999999999999006,-0.0008353624558517651,4.1058720714905784e-05,3.9864529919078185e-05,0.004894791005070677
1748640142.7789507,[ 0.04364435  0.02789993 -0.18705671],[ 0.04014888  0.02565917 -0.12941149],[ 0.17884728  0.11437161 -1.75329   ],0.0007500000000001173,-0.0014244089817411526,4.364434775694821e-05,4.0148875811304396e-05,0.0031214739307073676
1748640143.5491414,[ 0.04494767  0.02874393 -0.24000209],[ 0.04020829  0.02570056 -0.13898308],[ 0.11485481  0.07370157 -1.76134868],0.0007499999999999397,-0.0010173685049038208,4.494766843851668e-05,4.0208287976930434e-05,0.0020045946498770703
1748640144.4088733,[ 0.04560296  0.02917146 -0.29345185],[ 0.04022049  0.02570907 -0.14514924],[ 0.07397033  0.04753608 -1.76681921],0.000500000000000167,-0.0007719208486831188,4.560296271603698e-05,4.0220487502981164e-05,0.0012910257753497797
1748640145.2987485,[ 0.0459365   0.02939187 -0.34710929],[ 0.04022308  0.02571116 -0.14912557],[ 0.04770643  0.03072651 -1.7704579 ],0.0004999999999999006,0.001021379258748308,4.593650074304848e-05,4.0223084010689895e-05,0.0008326343430961831
1748640146.1891005,[ 0.04611846  0.02950959 -0.40085281],[ 0.04022459  0.02571191 -0.15169144],[ 0.03099973  0.01991579 -1.77284529],0.0007499999999999397,-9.71250295104058e-05,4.61184556363746e-05,4.0224592365496844e-05,0.0005410472718269845
1748640147.0988345,[ 0.04621725  0.02958427 -0.45463178],[ 0.04022498  0.02571285 -0.15335911],[ 0.02007954  0.01314953 -1.77439761],0.0007500000000001173,-0.0015678223065918816,4.6217252938959215e-05,4.022498471151463e-05,0.0003504541126672656
